,Prec,Qobs,Temp,Evap
2001-10-01,0.0,0.13607,8.1,0.4
2001-10-02,0.0,0.13790999999999998,8.6,0.4
2001-10-03,0.0,0.13795,6.0,0.4
2001-10-04,0.0,0.13404000000000002,2.2,0.4
2001-10-05,0.0,0.1383,-0.7,0.4
2001-10-06,1.143,0.15102000000000002,2.4,0.4
2001-10-07,1.905,0.1429,2.9,0.4
2001-10-08,0.762,0.14864000000000002,2.0,0.4
2001-10-09,0.508,0.15239,1.4,0.4
2001-10-10,4.064,0.15165,-1.1,0.4
2001-10-11,0.0,0.16335999999999998,2.2,0.4
2001-10-12,9.144,0.16949,-1.3,0.4
2001-10-13,1.3969999999999998,0.17128,1.1,0.4
2001-10-14,3.048,0.17714000000000002,-0.8,0.4
2001-10-15,0.0,0.20758000000000001,-2.6,0.4
2001-10-16,0.381,0.22359,0.6,0.4
2001-10-17,1.143,0.2255,2.5,0.4
2001-10-18,2.286,0.21785,-2.8,0.4
2001-10-19,1.524,0.22882,0.4,0.4
2001-10-20,5.334,0.25816999999999996,1.3,0.4
2001-10-21,1.905,0.26321,0.4,0.4
2001-10-22,6.223000000000001,0.2668,1.0,0.4
2001-10-23,3.81,0.2732,0.0,0.4
2001-10-24,1.524,0.28401,-1.8,0.4
2001-10-25,1.778,0.29186,-1.2,0.4
2001-10-26,0.0,0.29311,0.8,0.4
2001-10-27,5.08,0.30657,2.6,0.4
2001-10-28,1.524,0.29951,0.8,0.4
2001-10-29,4.3180000000000005,0.29486,-5.1,0.4
2001-10-30,15.621,0.30989,1.1,0.4
2001-10-31,4.952999999999999,0.36071,2.7,0.4
2001-11-01,0.381,0.35096,-1.0,0.2
2001-11-02,0.381,0.38609,0.5,0.2
2001-11-03,0.0,0.41735,1.5,0.2
2001-11-04,1.27,0.39764,2.0,0.2
2001-11-05,0.0,0.38331,2.4,0.2
2001-11-06,0.0,0.39733,-1.9,0.2
2001-11-07,0.0,0.35181,-3.9,0.2
2001-11-08,0.381,0.34233,-4.2,0.2
2001-11-09,0.0,0.34026,-2.2,0.2
2001-11-10,0.0,0.32437,-4.2,0.2
2001-11-11,0.0,0.3079,-2.4,0.2
2001-11-12,0.0,0.29584,-1.1,0.2
2001-11-13,3.302,0.30685,0.2,0.2
2001-11-14,2.1590000000000003,0.36489,3.6,0.2
2001-11-15,2.032,0.33483,5.2,0.2
2001-11-16,17.78,0.39011,5.3,0.2
2001-11-17,1.905,0.3857,3.3,0.2
2001-11-18,0.0,0.33745,-0.6,0.2
2001-11-19,0.762,0.33089,-1.2,0.2
2001-11-20,3.048,0.38835,0.0,0.2
2001-11-21,3.556,0.33705999999999997,0.6,0.2
2001-11-22,7.747000000000001,0.38179,-0.7,0.2
2001-11-23,0.635,0.37699,-1.1,0.2
2001-11-24,0.0,0.36956999999999995,-1.9,0.2
2001-11-25,8.001,0.37082,-6.5,0.2
2001-11-26,0.381,0.3458,-7.4,0.2
2001-11-27,6.858,0.35677,-6.4,0.2
2001-11-28,7.4929999999999986,0.34092,-6.3,0.2
2001-11-29,1.905,0.34869,-3.3,0.2
2001-11-30,3.937,0.33788,-4.1,0.2
2001-12-01,4.8260000000000005,0.4193,-4.3,0.3
2001-12-02,4.064,0.39893,-2.2,0.3
2001-12-03,3.048,0.41677,-3.9,0.3
2001-12-04,2.1590000000000003,0.39268000000000003,-6.4,0.3
2001-12-05,6.731,0.36399000000000004,-8.0,0.3
2001-12-06,2.286,0.36583000000000004,-6.6,0.3
2001-12-07,0.762,0.35568,-5.3,0.3
2001-12-08,0.381,0.34252,-4.9,0.3
2001-12-09,0.762,0.34479,-3.3,0.3
2001-12-10,1.27,0.32953000000000005,-11.2,0.3
2001-12-11,1.016,0.32508000000000004,-8.7,0.3
2001-12-12,4.3180000000000005,0.31719,-9.2,0.3
2001-12-13,18.796000000000006,0.35993,-5.7,0.3
2001-12-14,0.381,0.37235,-1.8,0.3
2001-12-15,0.508,0.34088,-7.4,0.3
2001-12-16,7.62,0.39986,-5.2,0.3
2001-12-17,0.0,0.39584,-1.8,0.3
2001-12-18,3.175,0.35806,-8.8,0.3
2001-12-19,1.143,0.34479,-6.6,0.3
2001-12-20,1.143,0.31906,-13.8,0.3
2001-12-21,0.762,0.31024,-12.3,0.3
2001-12-22,0.0,0.30361,-16.3,0.3
2001-12-23,0.0,0.29229,-19.7,0.3
2001-12-24,0.0,0.31145,-18.0,0.3
2001-12-25,0.0,0.27999,-18.5,0.3
2001-12-26,0.0,0.25692,-14.8,0.3
2001-12-27,2.032,0.24591,-19.8,0.3
2001-12-28,2.54,0.2417,-15.1,0.3
2001-12-29,0.0,0.22580999999999998,-13.7,0.3
2001-12-30,0.0,0.23936,-14.9,0.3
2001-12-31,0.0,0.22191,-11.7,0.3
2002-01-01,3.937,0.28725,-14.6,0.6
2002-01-02,1.143,0.30485999999999996,-10.4,0.6
2002-01-03,0.762,0.30329,-2.7,0.6
2002-01-04,0.0,0.31379,-4.5,0.6
2002-01-05,0.254,0.29838000000000003,-4.8,0.6
2002-01-06,8.509,0.30517,-2.9,0.6
2002-01-07,8.89,0.36665,0.0,0.6
2002-01-08,3.429,0.58594,0.5,0.6
2002-01-09,2.286,0.62615,-0.2,0.6
2002-01-10,0.0,0.6548,-2.7,0.6
2002-01-11,1.016,0.64289,-1.6,0.6
2002-01-12,1.778,0.6200899999999999,-1.8,0.6
2002-01-13,0.0,0.64867,-3.6,0.6
2002-01-14,0.0,0.63013,-8.7,0.6
2002-01-15,1.016,0.57318,-17.7,0.6
2002-01-16,0.762,0.55862,-8.5,0.6
2002-01-17,0.762,0.5172800000000001,-8.9,0.6
2002-01-18,2.286,0.50034,-11.2,0.6
2002-01-19,3.556,0.50065,-8.6,0.6
2002-01-20,3.429,0.48617,-5.9,0.6
2002-01-21,0.762,0.49291999999999997,-5.1,0.6
2002-01-22,0.635,0.47028000000000003,-8.2,0.6
2002-01-23,1.778,0.4718,-10.5,0.6
2002-01-24,5.587999999999999,0.46321999999999997,-5.2,0.6
2002-01-25,7.238999999999999,0.4996,-1.5,0.6
2002-01-26,1.905,0.56072,-6.5,0.6
2002-01-27,1.524,0.55795,-12.4,0.6
2002-01-28,0.0,0.52263,-12.3,0.6
2002-01-29,2.1590000000000003,0.49136,-20.6,0.6
2002-01-30,0.762,0.49421000000000004,-22.0,0.6
2002-01-31,2.667,0.4920600000000001,-8.9,0.6
2002-02-01,1.524,0.37016,-4.9,1.9
2002-02-02,4.953,0.37703000000000003,-5.5,1.9
2002-02-03,1.016,0.3821,-5.0,1.9
2002-02-04,0.381,0.38597,-5.4,1.9
2002-02-05,0.381,0.36938000000000004,-5.1,1.9
2002-02-06,5.461,0.36587,-3.0,1.9
2002-02-07,9.144,0.39054,-2.1,1.9
2002-02-08,1.778,0.38753000000000004,-4.6,1.9
2002-02-09,0.381,0.36125999999999997,-8.6,1.9
2002-02-10,0.381,0.3766,-4.6,1.9
2002-02-11,1.524,0.36243000000000003,-4.8,1.9
2002-02-12,0.0,0.34498,-10.1,1.9
2002-02-13,0.762,0.33401,-6.4,1.9
2002-02-14,0.0,0.3266,-7.8,1.9
2002-02-15,0.381,0.32035,-4.7,1.9
2002-02-16,0.0,0.31684,-5.5,1.9
2002-02-17,0.508,0.31778,-3.4,1.9
2002-02-18,1.016,0.32195,-2.3,1.9
2002-02-19,4.572,0.33343,-2.3,1.9
2002-02-20,0.0,0.35033000000000003,-2.0,1.9
2002-02-21,4.8260000000000005,0.35025,-3.5,1.9
2002-02-22,8.763,0.43055,0.3,1.9
2002-02-23,2.4130000000000003,0.5796899999999999,-10.8,1.9
2002-02-24,1.778,0.55218,-16.7,1.9
2002-02-25,0.0,0.55655,-18.2,1.9
2002-02-26,0.508,0.5595899999999999,-18.7,1.9
2002-02-27,1.143,0.5325,-12.7,1.9
2002-02-28,1.143,0.51755,-11.2,1.9
2002-03-01,0.381,0.50342,-11.2,2.4
2002-03-02,0.0,0.47753999999999996,-14.8,2.4
2002-03-03,0.0,0.46793999999999997,-7.9,2.4
2002-03-04,1.905,0.47273999999999994,-4.5,2.4
2002-03-05,6.222999999999999,0.47898999999999997,-7.2,2.4
2002-03-06,3.302,0.43506999999999996,-21.3,2.4
2002-03-07,1.016,0.40189,-23.1,2.4
2002-03-08,0.0,0.39986,-21.9,2.4
2002-03-09,1.905,0.3944,-11.1,2.4
2002-03-10,3.175,0.39643,-4.3,2.4
2002-03-11,11.557,0.43783999999999995,-1.4,2.4
2002-03-12,2.667,0.50772,-2.2,2.4
2002-03-13,0.508,0.48722,-3.8,2.4
2002-03-14,0.762,0.5172800000000001,-6.2,2.4
2002-03-15,2.286,0.5395300000000001,-5.6,2.4
2002-03-16,0.254,0.51135,-13.3,2.4
2002-03-17,1.778,0.48098,-17.7,2.4
2002-03-18,2.1590000000000003,0.47398999999999997,-14.5,2.4
2002-03-19,12.192,0.46255,-18.3,2.4
2002-03-20,3.556,0.46493,-19.5,2.4
2002-03-21,0.762,0.44728999999999997,-18.6,2.4
2002-03-22,0.0,0.43773,-5.1,2.4
2002-03-23,0.254,0.41294,-3.8,2.4
2002-03-24,1.524,0.40736,-4.7,2.4
2002-03-25,0.381,0.43425,-0.1,2.4
2002-03-26,1.905,0.4734,-0.4,2.4
2002-03-27,3.429,0.48515,-3.0,2.4
2002-03-28,1.905,0.52423,-2.7,2.4
2002-03-29,1.524,0.53008,-4.9,2.4
2002-03-30,0.762,0.52758,-1.1,2.4
2002-03-31,0.0,0.55881,-0.1,2.4
2002-04-01,3.81,0.52477,-5.7,1.8
2002-04-02,0.0,0.52809,-11.6,1.8
2002-04-03,0.0,0.57021,-12.4,1.8
2002-04-04,0.381,0.56248,-3.1,1.8
2002-04-05,2.286,0.5565100000000001,-1.2,1.8
2002-04-06,1.143,0.60452,0.8,1.8
2002-04-07,1.905,0.65577,1.0,1.8
2002-04-08,1.778,0.75297,-5.8,1.8
2002-04-09,7.874,0.86765,-1.6,1.8
2002-04-10,1.27,0.91589,1.0,1.8
2002-04-11,3.048,1.0236,2.3,1.8
2002-04-12,1.778,1.158,2.8,1.8
2002-04-13,10.795,1.433,4.0,1.8
2002-04-14,1.143,2.0935,3.4,1.8
2002-04-15,1.016,2.7043,-2.8,1.8
2002-04-16,0.508,2.8698,-1.8,1.8
2002-04-17,1.143,2.7049,-2.3,1.8
2002-04-18,1.143,2.3863,-1.7,1.8
2002-04-19,1.524,2.114,-0.3,1.8
2002-04-20,0.0,1.9099,-0.7,1.8
2002-04-21,0.0,1.7693,0.7,1.8
2002-04-22,0.0,1.6987,1.7,1.8
2002-04-23,3.4290000000000003,1.7017,-2.0,1.8
2002-04-24,0.762,1.6576,-4.5,1.8
2002-04-25,0.0,1.6125,-2.9,1.8
2002-04-26,3.048,1.5706,-2.7,1.8
2002-04-27,0.0,1.4934,-3.4,1.8
2002-04-28,0.0,1.4546,-1.1,1.8
2002-04-29,0.0,1.4324,2.8,1.8
2002-04-30,1.905,1.4361,2.0,1.8
2002-05-01,0.762,1.4249,0.4,1.4
2002-05-02,0.762,1.4872,1.8,1.4
2002-05-03,0.0,1.6509,0.4,1.4
2002-05-04,6.096,1.8047,-1.4,1.4
2002-05-05,3.302,1.8592,-1.7,1.4
2002-05-06,3.81,1.864,-3.0,1.4
2002-05-07,5.715,1.75,-4.1,1.4
2002-05-08,1.905,1.6346,-4.9,1.4
2002-05-09,0.381,1.5368,-2.9,1.4
2002-05-10,0.0,1.4243,-1.4,1.4
2002-05-11,0.381,1.3447,0.6,1.4
2002-05-12,0.0,1.2882,3.0,1.4
2002-05-13,0.762,1.2878,5.4,1.4
2002-05-14,0.762,1.4484,5.3,1.4
2002-05-15,0.0,1.6484,1.9,1.4
2002-05-16,1.778,1.8524,3.2,1.4
2002-05-17,0.254,1.9859,3.7,1.4
2002-05-18,1.27,2.0462,2.0,1.4
2002-05-19,0.762,2.1537,6.3,1.4
2002-05-20,0.254,2.7055,10.2,1.4
2002-05-21,3.556,3.5889,7.2,1.4
2002-05-22,13.589,4.8138,0.4,1.4
2002-05-23,0.381,5.3347,-1.5,1.4
2002-05-24,0.254,4.8212,-0.3,1.4
2002-05-25,1.651,4.0903,1.8,1.4
2002-05-26,0.381,3.5631,6.0,1.4
2002-05-27,2.54,3.4152,7.4,1.4
2002-05-28,0.635,3.6510000000000002,8.2,1.4
2002-05-29,0.0,4.1595,8.8,1.4
2002-05-30,0.0,4.7466,8.5,1.4
2002-05-31,0.0,5.2292,9.2,1.4
2002-06-01,0.762,5.5681,8.8,1.3
2002-06-02,1.143,5.7446,7.3,1.3
2002-06-03,0.0,5.4367,6.7,1.3
2002-06-04,0.381,5.1429,9.4,1.3
2002-06-05,0.0,4.8875,9.5,1.3
2002-06-06,0.0,4.705,7.3,1.3
2002-06-07,3.683,4.6521,3.9,1.3
2002-06-08,14.605,4.4347,2.4,1.3
2002-06-09,24.13,4.0678,3.1,1.3
2002-06-10,8.001,3.7399,4.7,1.3
2002-06-11,6.476999999999999,3.5389,5.9,1.3
2002-06-12,0.0,3.3476,9.8,1.3
2002-06-13,0.0,3.1235,12.2,1.3
2002-06-14,0.0,3.0262,15.5,1.3
2002-06-15,0.381,3.1404,15.9,1.3
2002-06-16,0.0,3.4610000000000003,15.9,1.3
2002-06-17,2.032,3.8054,13.2,1.3
2002-06-18,3.81,4.2021,7.6,1.3
2002-06-19,0.381,4.3607,5.5,1.3
2002-06-20,0.0,4.1311,8.2,1.3
2002-06-21,0.0,3.7579,12.0,1.3
2002-06-22,1.143,3.4518,14.8,1.3
2002-06-23,1.143,3.4275,14.9,1.3
2002-06-24,0.0,3.5898,13.8,1.3
2002-06-25,0.381,3.7612,14.9,1.3
2002-06-26,0.0,3.6991,17.3,1.3
2002-06-27,0.508,3.5522,17.7,1.3
2002-06-28,9.525,3.4718,13.6,1.3
2002-06-29,2.032,3.4746,10.6,1.3
2002-06-30,0.0,3.5023,9.1,1.3
2002-07-01,0.0,3.3465,7.8,1.0
2002-07-02,0.0,2.9286,8.7,1.0
2002-07-03,0.381,2.5266,11.3,1.0
2002-07-04,0.0,2.2268,10.3,1.0
2002-07-05,0.0,2.0428,8.1,1.0
2002-07-06,0.0,1.8792,11.4,1.0
2002-07-07,1.143,1.7866,17.0,1.0
2002-07-08,6.223000000000001,1.696,13.6,1.0
2002-07-09,0.0,1.7098,12.3,1.0
2002-07-10,0.381,1.7009,16.5,1.0
2002-07-11,0.0,1.6621,18.7,1.0
2002-07-12,0.0,1.5681,20.3,1.0
2002-07-13,2.6670000000000003,1.5013,21.7,1.0
2002-07-14,0.0,1.453,20.2,1.0
2002-07-15,0.0,1.3956,16.4,1.0
2002-07-16,0.0,1.3067,17.2,1.0
2002-07-17,0.0,1.2491,18.4,1.0
2002-07-18,0.0,1.1956,18.3,1.0
2002-07-19,0.0,1.1207,16.0,1.0
2002-07-20,0.0,1.0745,15.2,1.0
2002-07-21,0.0,1.0041,14.5,1.0
2002-07-22,0.0,0.9498200000000001,15.4,1.0
2002-07-23,0.0,0.91589,17.0,1.0
2002-07-24,1.27,0.87229,17.5,1.0
2002-07-25,0.762,0.80621,18.4,1.0
2002-07-26,0.0,0.76112,17.3,1.0
2002-07-27,0.762,0.7398100000000001,14.4,1.0
2002-07-28,4.572,0.70339,13.3,1.0
2002-07-29,0.0,0.69547,11.9,1.0
2002-07-30,0.0,0.66756,12.1,1.0
2002-07-31,0.0,0.62603,8.3,1.0
2002-08-01,0.762,0.58602,8.0,0.8
2002-08-02,0.0,0.5420699999999999,11.4,0.8
2002-08-03,0.0,0.5280100000000001,8.3,0.8
2002-08-04,0.381,0.49558,5.9,0.8
2002-08-05,1.524,0.48086,8.9,0.8
2002-08-06,1.524,0.4769600000000001,8.8,0.8
2002-08-07,0.381,0.49136,8.1,0.8
2002-08-08,2.286,0.48691,10.9,0.8
2002-08-09,0.0,0.4734,12.9,0.8
2002-08-10,0.0,0.45571999999999996,14.6,0.8
2002-08-11,0.0,0.44159,12.3,0.8
2002-08-12,0.0,0.41973,12.1,0.8
2002-08-13,0.0,0.40779,15.5,0.8
2002-08-14,0.0,0.39385,15.4,0.8
2002-08-15,0.0,0.37949,12.9,0.8
2002-08-16,0.381,0.36399000000000004,10.2,0.8
2002-08-17,0.762,0.35252,8.8,0.8
2002-08-18,0.0,0.34369,11.0,0.8
2002-08-19,0.0,0.34081,12.0,0.8
2002-08-20,0.381,0.34221,13.9,0.8
2002-08-21,7.619999999999999,0.3442,12.2,0.8
2002-08-22,23.495,0.33569,12.5,0.8
2002-08-23,0.381,0.33675,15.1,0.8
2002-08-24,0.0,0.34295,14.8,0.8
2002-08-25,1.524,0.35162,15.2,0.8
2002-08-26,1.524,0.34124,13.0,0.8
2002-08-27,3.048,0.33604,13.6,0.8
2002-08-28,0.0,0.33655,14.1,0.8
2002-08-29,0.0,0.34147,13.8,0.8
2002-08-30,0.0,0.33966999999999997,13.8,0.8
2002-08-31,0.381,0.34846,11.7,0.8
2002-09-01,0.0,0.3444,13.3,0.6
2002-09-02,0.381,0.31706999999999996,9.2,0.6
2002-09-03,0.0,0.29514,13.3,0.6
2002-09-04,1.016,0.2812,8.4,0.6
2002-09-05,0.381,0.27971999999999997,8.7,0.6
2002-09-06,2.286,0.27769,7.6,0.6
2002-09-07,0.0,0.28643,8.5,0.6
2002-09-08,0.381,0.29135,5.7,0.6
2002-09-09,0.0,0.30341,6.9,0.6
2002-09-10,0.381,0.30923,9.4,0.6
2002-09-11,0.0,0.31403000000000003,10.8,0.6
2002-09-12,0.0,0.30162,11.9,0.6
2002-09-13,0.0,0.28893,12.6,0.6
2002-09-14,0.0,0.28913,11.7,0.6
2002-09-15,0.0,0.26245999999999997,12.5,0.6
2002-09-16,1.778,0.26036,12.3,0.6
2002-09-17,9.144,0.25653000000000004,7.3,0.6
2002-09-18,0.0,0.25017,5.7,0.6
2002-09-19,0.381,0.24615,7.2,0.6
2002-09-20,0.0,0.24705,5.8,0.6
2002-09-21,0.0,0.25051999999999996,3.1,0.6
2002-09-22,0.0,0.25563,4.5,0.6
2002-09-23,0.0,0.25528,6.4,0.6
2002-09-24,0.0,0.24270999999999998,6.3,0.6
2002-09-25,0.0,0.2488,4.9,0.6
2002-09-26,1.3969999999999998,0.25239,5.5,0.6
2002-09-27,1.524,0.25161,4.4,0.6
2002-09-28,0.254,0.23869,3.4,0.6
2002-09-29,3.556,0.23292,5.4,0.6
2002-09-30,0.0,0.23705,2.8,0.6
2002-10-01,0.0,0.22007,0.8,0.4
2002-10-02,2.1590000000000003,0.21879,0.2,0.4
2002-10-03,3.175,0.23889000000000002,1.2,0.4
2002-10-04,0.254,0.24915,0.7,0.4
2002-10-05,2.286,0.23365999999999998,1.3,0.4
2002-10-06,0.762,0.22416999999999998,4.0,0.4
2002-10-07,0.0,0.23709000000000002,6.3,0.4
2002-10-08,0.0,0.2463,2.2,0.4
2002-10-09,0.0,0.25906999999999997,4.0,0.4
2002-10-10,1.143,0.26047,3.0,0.4
2002-10-11,0.0,0.26328,-3.0,0.4
2002-10-12,0.381,0.26332,-4.0,0.4
2002-10-13,0.381,0.2588,-1.3,0.4
2002-10-14,0.0,0.25505,-0.2,0.4
2002-10-15,0.508,0.24549,0.2,0.4
2002-10-16,0.0,0.24509,3.3,0.4
2002-10-17,0.381,0.24111,3.0,0.4
2002-10-18,0.0,0.23448000000000002,3.7,0.4
2002-10-19,0.0,0.2273,2.2,0.4
2002-10-20,0.0,0.23003,2.0,0.4
2002-10-21,0.0,0.2287,2.6,0.4
2002-10-22,0.0,0.22374000000000002,-2.0,0.4
2002-10-23,0.0,0.21620999999999999,-3.5,0.4
2002-10-24,0.381,0.20836,-4.4,0.4
2002-10-25,0.0,0.20731,-3.8,0.4
2002-10-26,0.0,0.20559000000000002,-2.8,0.4
2002-10-27,0.381,0.20044,-3.4,0.4
2002-10-28,0.762,0.20368,-3.1,0.4
2002-10-29,1.143,0.20017000000000001,-9.6,0.4
2002-10-30,0.0,0.19154000000000002,-13.0,0.4
2002-10-31,0.762,0.19353,-19.1,0.4
2002-11-01,0.0,0.28198,-15.5,0.2
2002-11-02,0.0,0.26996,-15.9,0.2
2002-11-03,0.381,0.27105,-7.0,0.2
2002-11-04,0.0,0.26239,-6.7,0.2
2002-11-05,0.381,0.26797,-4.6,0.2
2002-11-06,0.0,0.24502,-0.7,0.2
2002-11-07,7.62,0.23651,0.0,0.2
2002-11-08,12.573,0.25177,0.9,0.2
2002-11-09,7.874,0.26036,0.8,0.2
2002-11-10,0.254,0.25856,-0.2,0.2
2002-11-11,1.905,0.26079,-0.5,0.2
2002-11-12,4.191,0.2657,0.4,0.2
2002-11-13,2.032,0.26421999999999995,1.5,0.2
2002-11-14,2.794,0.27238,0.4,0.2
2002-11-15,0.0,0.27441,-0.7,0.2
2002-11-16,0.0,0.27574,-0.8,0.2
2002-11-17,0.381,0.27878000000000003,-0.1,0.2
2002-11-18,4.191,0.27593,-0.7,0.2
2002-11-19,0.762,0.27826999999999996,-0.2,0.2
2002-11-20,0.0,0.28292,2.1,0.2
2002-11-21,1.524,0.28725,1.7,0.2
2002-11-22,0.254,0.28670999999999996,2.3,0.2
2002-11-23,1.778,0.31656999999999996,-1.5,0.2
2002-11-24,0.0,0.32379,-7.1,0.2
2002-11-25,0.381,0.30513,-7.6,0.2
2002-11-26,0.762,0.29869,-6.0,0.2
2002-11-27,0.0,0.28483,-3.4,0.2
2002-11-28,0.381,0.27663000000000004,-3.0,0.2
2002-11-29,0.0,0.28202,-2.7,0.2
2002-11-30,0.0,0.27260999999999996,-10.1,0.2
2002-12-01,0.0,0.25841,-9.2,0.3
2002-12-02,0.0,0.25816999999999996,-4.6,0.3
2002-12-03,0.0,0.25731,-6.5,0.3
2002-12-04,0.762,0.2602,-10.3,0.3
2002-12-05,0.381,0.26785,-9.7,0.3
2002-12-06,0.0,0.25723,-4.5,0.3
2002-12-07,0.0,0.25723,-7.7,0.3
2002-12-08,0.0,0.25466,-13.2,0.3
2002-12-09,2.7939999999999996,0.25122,-6.3,0.3
2002-12-10,2.1590000000000003,0.24275,-5.9,0.3
2002-12-11,3.175,0.24040999999999998,-3.2,0.3
2002-12-12,3.683,0.23545,-3.0,0.3
2002-12-13,2.1590000000000003,0.26727,-0.1,0.3
2002-12-14,17.399,0.33109,0.0,0.3
